PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,,,
31,2026-01-15,37:31.0,3,2,"Mudd, Tyler",809052,Left,BOC_EAG,"Mainolfi, Ty",1000275825,Right,BOC_EAG,Undefined,1,Bottom,1,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.07771,0.976835,0.799132,2356.734866,293.612077,3:45,5.28474,-1.91462,5.22937,-49.75912,-1.81803,7.37941,2.0566,-0.54841,71.22978,-8.043213,2.108851,0.498339,,,,,,,,,,,,-3.4676,-0.70362,1.83534,50,5.3375,-1.85382,-111.9549,0.1932,-4.42364,19.23938,-33.07165,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,65b69b90-f25a-11f0-99a1-27b08f981295,75.63607,,,5.84794,,,,,,,,,
32,2026-01-15,37:52.5,3,3,"Mudd, Tyler",809052,Left,BOC_EAG,"Mainolfi, Ty",1000275825,Right,BOC_EAG,Undefined,1,Bottom,1,0,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,86.85096,-2.772143,1.89331,2174.828066,169.692301,11:45,5.93445,-0.92827,5.99032,-17.65292,19.32493,-3.2974,1.89085,0.55222,79.49143,-6.124059,1.300708,0.437665,,,,,,,,,,,,2.21473,11.05587,0.78076,50,5.70583,-4.02958,-125.97779,-6.59116,3.5595,25.56862,-14.40505,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,72a6fc50-f25a-11f0-99a1-27b08f981295,86.1216,,,7.35953,,,,,,,,,
33,2026-01-15,38:27.0,4,1,"Mudd, Tyler",809052,Left,BOC_EAG,"Garcia, Esteban",822341,Left,BOC_EAG,Undefined,1,Bottom,2,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,86.17334,-1.911441,1.731071,2146.651,175.687816,11:45,5.95612,-0.9277,6.0657,-18.91218,18.67635,-1.31327,2.60971,0.56536,78.46605,-5.514139,1.494719,0.441265,86.31269,19.276684,-23.043347,3096.383525,97.12594,28.59265,-51.63724,255.56897,195.88354,-34.060265,2.866062,1.18929,10.57485,0.79419,50,5.79779,-3.72725,-125.05062,-4.69661,1.87228,26.58554,-15.52638,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,8729d710-f25a-11f0-99a1-27b08f981295,85.41912,29.98083,,7.70729,,,,0.94066,2.59124,-0.54289,,,
34,2026-01-15,41:12.9,1,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Masse, Easton",1000136802,Right,BOC_EAG,Undefined,2,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.94213,0.272774,-0.960971,2326.015016,221.653772,1:30,5.94366,-1.64044,5.3856,-33.93864,8.09107,6.11882,3.37115,-2.03136,75.63716,-5.949804,0.127401,0.466605,,,,,,,,,,,,-3.30362,4.39126,1.72196,50,5.94421,1.74307,-119.05014,-0.60197,-4.78524,20.86684,-25.81335,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,e9f98e30-f25a-11f0-99a1-27b08f981295,80.78015,,,6.30498,,,,,,,,,
35,2026-01-15,41:27.6,1,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Masse, Easton",1000136802,Right,BOC_EAG,Undefined,2,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.68809,-1.500696,0.523624,2131.109302,167.855459,11:30,6.11641,-0.97856,6.01677,-18.55021,17.66395,-3.54874,3.18009,-0.78925,80.03677,-5.026645,-0.114949,0.433122,80.36009,58.73906,77.138352,4210.542007,,,,,64.45944,,,1.98347,9.88245,0.93949,50,5.9887,-1.02079,-127.36407,-3.86943,3.24929,26.8158,-15.98474,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,f2d32e30-f25a-11f0-99a1-27b08f981295,87.02493,92.99982,,7.65131,,,,1.25391,3.56671,-0.09933,,,
36,2026-01-15,41:46.0,1,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Masse, Easton",1000136802,Right,BOC_EAG,Undefined,2,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.41954,-2.322844,2.248769,2039.155316,153.147645,11:00,6.00277,-1.15732,5.96282,-22.67667,14.72985,-6.84477,1.95637,0.3585,79.09909,-6.575147,1.019053,0.440195,60.99958,64.9093,105.590908,4827.224626,,,,,11.72256,,,4.17547,8.59418,0.98282,50,5.8057,-4.65224,-125.3863,-5.78118,6.63672,25.72813,-18.51395,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,fdc4d8c0-f25a-11f0-99a1-27b08f981295,85.62674,26.7751,,7.32045,,,,1.59206,2.03716,-0.38289,,,
37,2026-01-15,42:06.4,1,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Masse, Easton",1000136802,Right,BOC_EAG,Undefined,2,Top,0,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.07731,-0.801865,1.009459,1449.736021,129.177113,10:15,5.99134,-1.17189,5.5913,-31.86014,13.7845,-14.52005,2.58744,-1.43924,70.92261,-6.797645,-1.584045,0.486257,,,,,,,,,,,,7.60646,7.83185,1.09441,50,5.9027,-1.42897,-115.76744,-2.59543,9.95357,28.80508,-21.92552,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,09e6c5f0-f25b-11f0-99a1-27b08f981295,77.5154,,,9.1547,,,,,,,,,
38,2026-01-15,42:41.3,2,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"DeShazo, Owen",703506,Right,BOC_EAG,Undefined,2,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.23131,4.029431,-1.051819,2568.221226,311.955567,4:30,6.04622,-1.23395,5.15845,-65.59618,-12.01642,15.66969,4.3796,-0.91831,66.406,-7.910201,1.722034,0.526832,,,,,,,,,,,,-8.01363,-6.54492,1.32007,50,6.37377,1.32778,-107.25121,5.27024,-9.09872,22.9083,-39.60523,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,1eb59dd0-f25b-11f0-99a1-27b08f981295,71.54553,,,7.82531,,,,,,,,,
39,2026-01-15,42:56.4,2,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"DeShazo, Owen",703506,Right,BOC_EAG,Undefined,2,Top,1,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.91695,-0.582116,0.613321,2292.248636,249.830399,2:15,5.92999,-1.26902,5.3981,-37.77766,4.99201,9.6293,2.23631,0.10819,74.60945,-7.510674,2.327847,0.470695,,,,,,,,,,,,-4.6478,3.12461,1.20738,50,5.85183,-1.67127,-118.81625,-2.51574,-6.58019,24.81039,-27.75033,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,27ca23f0-f25b-11f0-99a1-27b08f981295,80.07832,,,7.3075,,,,,,,,,
40,2026-01-15,43:12.6,2,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"DeShazo, Owen",703506,Right,BOC_EAG,Undefined,2,Top,1,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.17673,-1.541686,2.201701,1468.660783,108.167386,9:30,5.97111,-1.03655,6.0506,-37.25207,8.51985,-20.14477,1.43822,-0.67614,70.59832,-8.52323,-1.430035,0.486935,,,,,,,,,,,,11.1565,5.51988,0.87567,50,5.83168,-3.63878,-114.59638,-4.18287,14.3293,27.90813,-25.08437,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,316edc20-f25b-11f0-99a1-27b08f981295,77.40755,,,8.57842,,,,,,,,,
41,2026-01-15,43:28.8,2,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"DeShazo, Owen",703506,Right,BOC_EAG,Undefined,2,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.97286,-0.334375,1.215665,2101.67557,177.854323,12:00,6.06981,-0.94479,6.14093,-22.79576,14.37843,-0.48776,3.86109,0.13817,78.22602,-4.674784,1.127727,0.438826,70.72105,13.094311,174.758689,5311.776224,,,,82.63868,42.34894,174.048785,0.843107,0.63878,7.90477,0.85235,50,6.0326,-2.65398,-126.07431,-1.39477,1.01185,29.41086,-19.65232,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,3af7f600-f25b-11f0-99a1-27b08f981295,85.89382,7.59775,,8.74684,,,,0.48671,3.48699,0.02168,,,
42,2026-01-15,43:48.6,2,5,"Colarusso, AJ",1000090794,Left,BOC_EAG,"DeShazo, Owen",703506,Right,BOC_EAG,Undefined,2,Top,1,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,86.86492,-1.944654,0.880991,2043.178359,174.583415,11:45,6.0942,-0.96703,5.73969,-17.5156,20.76666,-1.82185,2.82293,-0.29847,77.33458,-5.332728,0.554938,0.445318,105.62882,-17.523801,-1.151445,,,,,10.11231,9.72929,0.649915,0.059921,1.24378,11.69225,0.89486,50,5.92212,-1.8547,-125.70938,-4.74068,1.9337,32.23688,-13.9964,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,46d38b60-f25b-11f0-99a1-27b08f981295,84.64162,2.79981,,9.53034,,,,1.24644,2.79981,0.29289,,,
43,2026-01-15,44:44.2,3,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Surowiec, Danny",831970,Left,BOC_EAG,Undefined,2,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.86184,-0.391318,0.081423,2334.749639,257.834952,2:30,5.87994,-1.4218,5.39589,-39.92809,3.4011,9.74154,2.18587,-0.5337,74.59061,-7.6734,1.816511,0.473764,,,,,,,,,,,,-4.86351,2.23701,1.40758,50,5.81708,-0.56402,-117.46478,-2.18804,-6.82169,21.43838,-29.03634,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,67f376c0-f25b-11f0-99a1-27b08f981295,79.55959,,,6.27122,,,,,,,,,
44,2026-01-15,45:04.1,3,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Surowiec, Danny",831970,Left,BOC_EAG,Undefined,2,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.13314,-1.139733,0.695438,2010.397723,168.532882,11:30,6.12748,-0.96255,5.71769,-18.09899,22.04485,-4.12528,3.55733,-0.65848,75.21314,-4.666476,-0.042503,0.456017,70.66413,-0.684968,-146.336782,2568.904645,,,,40.59349,40.59349,-152.004151,0.419436,2.3361,12.05225,0.90691,50,6.02151,-1.31462,-123.11732,-2.90886,3.46075,32.3681,-14.3195,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,73da2fb0-f25b-11f0-99a1-27b08f981295,82.65579,3.15103,,9.92,,,,-1.01263,3.15103,0.94293,,,
45,2026-01-15,45:49.1,3,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Surowiec, Danny",831970,Left,BOC_EAG,Undefined,2,Top,1,0,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.19599,-1.89274,0.091609,2362.535054,223.091334,1:30,5.93741,-1.43744,5.31102,-33.03805,11.05103,8.80414,1.40704,-0.61778,73.37457,-7.986759,1.657218,0.4779,,,,,,,,,,,,-4.3467,6.65,1.42265,50,5.74241,-0.56109,-117.55197,-4.99227,-5.97573,25.92128,-23.03179,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,8e974770-f25b-11f0-99a1-27b08f981295,78.871,,,7.82142,,,,,,,,,
46,2026-01-15,46:08.9,3,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Surowiec, Danny",831970,Left,BOC_EAG,Undefined,2,Top,1,0,2,Cutter,Slider,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,79.49234,0.877052,-0.133689,2355.353311,273.910605,3:15,5.88656,-1.37505,5.36583,-43.86443,0.66264,8.15182,3.05364,-0.82109,73.79487,-7.099183,1.316756,0.480268,61.56564,-66.045413,-83.965371,,,,,0.55217,0.56412,-54.75973,0.03763,-4.15004,0.4689,1.38098,50,5.9337,-0.04987,-115.58659,0.26006,-5.68214,19.11059,-31.53202,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,9a7cc7e0-f25b-11f0-99a1-27b08f981295,78.48213,3.12381,,5.69747,,,,0.1727,3.12381,0.92917,,,
47,2026-01-15,46:54.7,4,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Williams, Ben",831962,Right,BOC_EAG,Undefined,2,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.3732,-3.088543,1.950119,1599.149592,125.357494,10:15,5.91146,-1.30283,5.49269,-33.84762,8.79091,-10.60327,0.19719,-0.3615,75.48692,-9.253196,0.057836,0.469973,,,,,,,,,,,,5.9241,5.59646,1.13973,50,5.61769,-3.60902,-118.05397,-7.49991,8.42008,20.97064,-24.21969,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,b5c52fb0-f25b-11f0-99a1-27b08f981295,80.20137,,,5.88628,,,,,,,,,
48,2026-01-15,47:14.2,4,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Williams, Ben",831962,Right,BOC_EAG,Undefined,2,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.16089,-0.901999,0.530822,2129.097615,173.610832,11:45,6.09268,-0.96921,6.05632,-17.24481,19.58899,-2.05181,3.82061,-0.64885,78.95391,-4.219739,0.16142,0.436812,,,,,,,,,,,,1.20693,10.69898,0.929,50,6.01321,-1.0861,-126.50073,-2.44246,1.93849,27.92734,-14.98999,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,c15defb0-f25b-11f0-99a1-27b08f981295,86.28986,,,8.20698,,,,,,,,,
49,2026-01-15,47:32.3,4,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Williams, Ben",831962,Right,BOC_EAG,Undefined,2,Top,2,2,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.82631,-0.869214,1.13269,2328.349869,252.187378,2:30,5.95275,-1.30982,5.30358,-39.98589,3.65185,7.20012,1.8044,0.35364,74.49236,-8.143434,2.412545,0.475448,,,,,,,,,,,,-3.33563,2.42162,1.20139,50,5.84451,-2.60734,-117.35808,-3.16769,-4.65645,22.01149,-28.79353,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,cc3ab2b0-f25b-11f0-99a1-27b08f981295,79.27781,,,6.33395,,,,,,,,,
50,2026-01-15,47:55.8,4,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Williams, Ben",831962,Right,BOC_EAG,Undefined,2,Top,2,2,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,86.81699,-1.822926,1.007663,2094.97317,174.19284,11:45,5.99894,-0.85894,5.89762,-16.60343,21.41505,-2.02358,2.92212,-0.09199,77.41497,-5.053556,0.644484,0.443781,106.71666,17.01915,-1.901274,880.295684,109.95968,30.83616,-2.97631,316.52883,308.33934,0.170063,3.325,1.39965,12.05001,0.77906,50,5.84314,-2.12716,-125.72479,-4.4272,2.1794,31.94167,-13.41087,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,da353070-f25b-11f0-99a1-27b08f981295,84.93474,38.42619,,9.40202,,,,1.67158,2.89357,0.08495,,,
51,2026-01-15,50:36.9,1,1,"Mudd, Tyler",809052,Left,BOC_EAG,"Roossien, Jace",831501,Right,BOC_EAG,Undefined,2,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.5211,-3.759506,1.516513,2144.936366,162.617769,11:30,5.80139,-0.88551,6.13381,-20.6456,18.68619,-5.40504,0.59997,0.06605,76.68766,-7.677607,0.541638,0.451381,,,,,,,,,,,,3.27579,11.26154,0.77251,50,5.50333,-3.03138,-122.40733,-8.60344,4.90805,26.97919,-15.30104,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,3a372190-f25c-11f0-99a1-27b08f981295,83.5047,,,7.83345,,,,,,,,,
52,2026-01-15,50:52.0,1,2,"Mudd, Tyler",809052,Left,BOC_EAG,"Roossien, Jace",831501,Right,BOC_EAG,Undefined,2,Bottom,0,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,84.78329,-2.255808,1.072394,2206.910788,164.07521,11:30,5.83418,-0.81956,6.00793,-18.53619,20.59836,-5.4804,2.19815,-0.28263,76.78395,-5.807257,0.086564,0.450248,56.55389,-40.651853,-58.879284,,,,,4.27255,2.4068,-27.985256,0.042309,3.16555,11.71898,0.7384,50,5.64697,-2.08597,-122.96253,-5.33563,4.78885,27.09179,-14.44552,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,43386dd0-f25c-11f0-99a1-27b08f981295,83.71488,2.29809,,7.99934,,,,2.38971,2.29809,0.28628,,,
53,2026-01-15,51:28.3,2,1,"Mudd, Tyler",809052,Left,BOC_EAG,"Wolff, Kyle",813479,Right,BOC_EAG,Undefined,2,Bottom,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.51418,-2.773759,1.162329,1610.423665,160.193343,11:15,5.9709,-0.87728,5.36823,-27.8175,18.22572,-6.05363,1.04949,-0.29178,72.51962,-7.897531,0.085539,0.488376,,,,,,,,,,,,3.35969,10.32445,0.77754,50,5.70243,-2.07593,-113.89535,-6.38139,4.44079,19.69566,-18.5274,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,58ea79c0-f25c-11f0-99a1-27b08f981295,77.17916,,,5.99456,,,,,,,,,
54,2026-01-15,51:41.5,2,2,"Mudd, Tyler",809052,Left,BOC_EAG,"Wolff, Kyle",813479,Right,BOC_EAG,Undefined,2,Bottom,1,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.8819,0.18274,1.352894,2302.278671,263.05312,2:45,5.27986,-1.65662,5.30845,-46.67097,3.33709,13.63328,1.56219,0.74963,69.33821,-8.332619,3.774535,0.508969,,,,,,,,,,,,-6.4076,2.12811,1.52366,50,5.26285,-3.12817,-110.04619,-1.1812,-7.78437,21.22574,-29.5887,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,60bff030-f25c-11f0-99a1-27b08f981295,74.05644,,,6.5437,,,,,,,,,
55,2026-01-15,51:56.8,2,3,"Mudd, Tyler",809052,Left,BOC_EAG,"Wolff, Kyle",813479,Right,BOC_EAG,Undefined,2,Bottom,1,2,0,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,74.33008,1.795136,1.130647,2152.532123,281.670541,3:30,5.23478,-1.6551,5.29544,-52.40668,-0.80433,11.39631,2.55387,0.35628,68.48885,-7.733029,3.153569,0.517019,,,,,,,,,,,,-5.45697,-0.51453,1.5434,50,5.35941,-2.54942,-107.91792,1.68692,-6.44554,18.50395,-32.78179,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,69d9a670-f25c-11f0-99a1-27b08f981295,72.90345,,,5.84123,,,,,,,,,
56,2026-01-15,52:14.9,2,4,"Mudd, Tyler",809052,Left,BOC_EAG,"Wolff, Kyle",813479,Right,BOC_EAG,Undefined,2,Bottom,1,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.54348,1.991469,-0.79468,2122.506729,286.978369,3:30,5.35194,-1.60031,5.26106,-51.429,-0.98051,8.67575,2.93808,-1.62397,68.88111,-7.389887,0.74528,0.511205,,,,,,,,,,,,-4.53894,-0.52028,1.66652,50,5.49668,1.17632,-109.53285,2.08008,-5.48009,20.46378,-32.80221,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,7493ed50-f25c-11f0-99a1-27b08f981295,73.73247,,,6.66237,,,,,,,,,
57,2026-01-15,52:31.1,2,5,"Mudd, Tyler",809052,Left,BOC_EAG,"Wolff, Kyle",813479,Right,BOC_EAG,Undefined,2,Bottom,1,3,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Error,1,0,,85.47344,-2.885165,1.163074,2078.023634,178.282998,12:00,5.82618,-0.70024,6.32538,-14.93658,23.09178,-0.65197,1.92169,0.31667,77.49583,-5.796694,1.045133,0.443839,86.44444,-19.942848,-42.035915,,,,,7.10437,3.15581,-32.879951,0.045586,0.70098,13.32867,0.61566,50,5.60823,-2.49239,-123.98227,-6.58278,1.07916,27.31504,-11.65406,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,7e4576c0-f25c-11f0-99a1-27b08f981295,84.92372,1.97489,,7.9776,,,,1.92378,1.97489,-0.21232,,,
58,2026-01-15,53:36.6,3,1,"Mudd, Tyler",809052,Left,BOC_EAG,"Johnson, Gunnar",1000100233,Right,BOC_EAG,Undefined,2,Bottom,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.46452,1.77221,1.1947,2193.506489,284.68584,3:30,5.17661,-1.90331,5.22458,-50.55601,-0.60071,9.30745,2.63061,-0.00436,68.9216,-7.474812,2.844663,0.5087,,,,,,,,,,,,-4.19296,-0.27118,1.7861,50,5.30295,-2.68805,-110.68579,1.69937,-5.10116,23.31729,-32.50395,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,a551f450-f25c-11f0-99a1-27b08f981295,74.09555,,,7.54292,,,,,,,,,
59,2026-01-15,53:50.3,3,2,"Mudd, Tyler",809052,Left,BOC_EAG,"Johnson, Gunnar",1000100233,Right,BOC_EAG,Undefined,2,Bottom,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.76026,-3.316602,0.324636,1575.617862,159.715786,11:15,5.7927,-0.82547,5.63531,-26.49029,19.40048,-6.58142,0.48742,-1.07104,71.9202,-8.252983,-0.852268,0.487567,,,,,,,,,,,,3.45347,11.31741,0.80224,50,5.49382,-0.39637,-114.11159,-7.37971,4.52029,22.4315,-17.3605,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,ad923a80-f25c-11f0-99a1-27b08f981295,77.30724,,,6.84006,,,,,,,,,
60,2026-01-15,54:05.3,3,3,"Mudd, Tyler",809052,Left,BOC_EAG,"Johnson, Gunnar",1000100233,Right,BOC_EAG,Undefined,2,Bottom,2,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,85.28773,-2.887006,0.56925,2180.410507,178.756212,12:00,5.80784,-0.61022,6.1615,-16.37887,22.68741,-0.45827,1.77362,-0.12253,76.11466,-6.090831,0.48657,0.449855,107.19881,12.561711,9.722143,1966.958751,107.46645,20.72742,23.47206,281.47807,278.81444,16.732155,2.645029,0.43961,13.18107,0.56727,50,5.58036,-1.20816,-123.46037,-6.59707,0.66004,30.82305,-12.3843,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,b67b91f0-f25c-11f0-99a1-27b08f981295,83.78801,23.477,,9.17307,,,,0.3922,1.68643,0.13356,,,
61,2026-01-15,54:55.5,4,1,"Mudd, Tyler",809052,Left,BOC_EAG,"Gallo, Luke",10126155,Right,BOC_EAG,Undefined,2,Bottom,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.88418,-1.870454,0.623721,1576.621206,140.436221,10:45,6.00944,-0.96871,5.5443,-28.66411,19.14615,-14.25343,1.87202,-1.57358,69.84329,-7.262291,-1.919821,0.497659,,,,,,,,,,,,7.34941,10.84772,0.92411,50,5.82907,-0.65644,-112.70684,-4.50271,9.22413,25.11624,-18.55922,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,d44351a0-f25c-11f0-99a1-27b08f981295,75.73948,,,8.04089,,,,,,,,,
62,2026-01-15,55:14.9,4,2,"Mudd, Tyler",809052,Left,BOC_EAG,"Gallo, Luke",10126155,Right,BOC_EAG,Undefined,2,Bottom,2,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.99569,2.624565,1.199348,1467.329546,154.973532,11:15,5.995,-0.99003,5.35173,-26.54694,22.57623,-9.69351,6.24662,-0.67278,68.79652,-2.416811,-0.521003,0.504446,,,,,,,,,,,,5.17264,10.89812,0.88895,50,6.21314,-1.93116,-111.31936,4.37181,6.37204,23.39174,-18.74899,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,dfd9c7b0-f25c-11f0-99a1-27b08f981295,74.72048,,,8.19917,,,,,,,,,
63,2026-01-15,55:43.3,4,3,"Mudd, Tyler",809052,Left,BOC_EAG,"Gallo, Luke",10126155,Right,BOC_EAG,Undefined,2,Bottom,2,2,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.00118,2.014872,0.827073,2081.917918,303.58907,4:00,5.35657,-1.804,5.20571,-56.6379,-2.2524,6.19992,2.53262,-0.50946,66.42957,-8.299168,1.926512,0.530778,,,,,,,,,,,,-2.81339,-1.12799,1.72269,50,5.50079,-1.7658,-105.78581,1.86427,-3.15308,19.89386,-33.43824,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,f0d4b430-f25c-11f0-99a1-27b08f981295,71.01356,,,6.57161,,,,,,,,,
