PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-05-14,20:04:56.91,1,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Kerce, Carson",812668,Right,GIT_YEL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.49581,-4.022961,2.249075,2160.44083,146.434588,11:00,5.97903,-1.01974,5.8055,-14.21434,20.55611,-12.80241,1.04415,0.00607,81.89225,-6.757447,-0.043633,0.424401,,,,,,,,,,,,7.25504,12.12572,0.84295,50,5.63998,-4.58828,-130.92336,-9.6023,12.44412,30.68208,-11.37552,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260514-HarringtonVillage-1,b5689a40-4ff1-11f1-b902-418d5ab43a00,88.8132,,,8.60356,,,,,,,6a5feec5-7202-4389-988a-b79fbc547f32,2026-05-15,00:04:56.91,2026-05-14T20:04:56.9193984-04:00,2026-05-15T00:04:56.9193984Z,,v3,227,100,cecc6e81663141028ed4722ec97de5af,"Johnson, Gunnar",1000100233,Right,BOC_EAG,3602724f-dd74-4409-8e1f-adb54b1e2502,54.69211,-132.01838,15.34104,5.97544,-9.19632,-5.68776,1.01463,-5.0324,6.22206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,151.262918,-3.303977,2156.849785,0.998338,11:00,0.058152,0.482853,-0.873769,38.191737,-18.147984,46.31287,173.98364,-21.067374,0.097807,-0.359465,-0.928019,21.173743,-5.612878,0.359465,-0.097807,0.928019,-21.173743,5.612878,-0.359465,0.097807,0.928019,-173.98364,21.067374,-0.097807,0.359465,-0.928019,,,
2,2026-05-14,20:05:11.40,1,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Kerce, Carson",812668,Right,GIT_YEL,Undefined,1,Top,0,1,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.05218,-1.447176,1.513796,2402.052847,206.79084,1:00,5.71735,-1.53902,5.52274,-29.04139,9.19233,4.03925,1.94348,0.2132,79.00985,-6.793626,2.234001,0.445036,,,,,,,,,,,,-1.63201,5.40059,1.40451,50,5.57205,-3.47043,-124.90148,-4.16393,-2.57995,24.98877,-23.63658,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260514-HarringtonVillage-1,be077b30-4ff1-11f1-b902-418d5ab43a00,84.69534,,,7.04233,,,,,,,6a5feec5-7202-4389-988a-b79fbc547f32,2026-05-15,00:05:11.40,2026-05-14T20:05:11.4064384-04:00,2026-05-15T00:05:11.4064384Z,,v3,227,100,cecc6e81663141028ed4722ec97de5af,"Johnson, Gunnar",1000100233,Right,BOC_EAG,5fe4ae2a-4bfc-4ca0-a018-56c5a1b9e88c,54.97587,-125.89306,12.49438,5.71867,-3.22601,-11.81829,1.54019,-3.36806,-1.28998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,171.153274,-66.158123,970.943205,0.404214,11:45,0.923036,0.085245,-0.375152,-44.552522,-49.228692,40.431501,167.585697,11.183453,0.210897,0.193951,-0.958074,11.444212,12.17492,0.193951,0.210897,0.958074,-11.444212,-12.17492,-0.193951,-0.210897,0.958074,-167.585697,-11.183453,-0.210897,-0.193951,-0.958074,,,
3,2026-05-14,20:05:25.35,1,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Kerce, Carson",812668,Right,GIT_YEL,Undefined,1,Top,0,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.4281,-2.368063,2.09754,2195.958736,147.172236,11:00,5.96529,-0.95011,5.60316,-12.07548,22.19143,-13.51434,2.74563,-0.11733,82.43891,-4.727756,-0.313146,0.421317,75.53838,32.365329,141.363337,3421.244514,,,,,41.21208,,,7.50351,12.33922,0.77952,50,5.75504,-4.23737,-132.42304,-5.78829,13.1502,31.71987,-10.54906,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260514-HarringtonVillage-1,c659c2c0-4ff1-11f1-b902-418d5ab43a00,89.46338,24.3445,,8.98919,,,,0.39257,2.83387,-0.0074,6a5feec5-7202-4389-988a-b79fbc547f32,2026-05-15,00:05:25.35,2026-05-14T20:05:25.3586432-04:00,2026-05-15T00:05:25.3586432Z,,v3,227,100,cecc6e81663141028ed4722ec97de5af,"Johnson, Gunnar",1000100233,Right,BOC_EAG,3f9ab21d-9266-4143-80af-fe0d757f1869,54.89369,-133.5901,15.85993,5.96087,-5.40016,-5.27453,0.94433,-4.7212,6.5751,,0.39911,-73.2889,2.68832,,,,,,,2.85388,58.73091,-27.39543,,,,,,,0.00794,57.98659,-12.90599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,151.558329,-7.049093,2179.360288,0.992441,11:00,0.134956,0.477331,-0.868298,32.916006,-27.269968,52.964089,179.226203,-22.538879,0.012473,-0.38331,-0.923535,22.540729,-0.714691,0.38331,-0.012473,0.923535,-22.540729,0.714691,-0.38331,0.012473,0.923535,-179.226203,22.538879,-0.012473,0.38331,-0.923535,,,
4,2026-05-14,20:05:48.30,1,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Kerce, Carson",812668,Right,GIT_YEL,Undefined,1,Top,0,1,2,Cutter,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.98953,-1.030397,0.922467,2269.501676,202.90484,12:45,5.69951,-1.65431,5.63787,-25.62781,11.96154,4.50969,2.60237,-0.41785,78.97257,-5.810245,1.728264,0.44127,68.97058,45.868166,142.830332,4481.524664,,,,,44.78666,,,-2.01732,6.75886,1.57292,50,5.59579,-2.22204,-126.19876,-3.12283,-3.22133,28.03826,-21.38125,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260514-HarringtonVillage-1,d404e800-4ff1-11f1-b902-418d5ab43a00,85.41817,37.8822,,8.01695,,,,1.03742,2.65855,0.31782,6a5feec5-7202-4389-988a-b79fbc547f32,2026-05-15,00:05:48.30,2026-05-14T20:05:48.3047424-04:00,2026-05-15T00:05:48.3047424Z,,v3,227,100,cecc6e81663141028ed4722ec97de5af,"Johnson, Gunnar",1000100233,Right,BOC_EAG,1e3b8032-15fb-4d06-b81e-23e645d87f55,54.85967,-127.27388,14.01913,5.69982,-2.30298,-10.69062,1.65575,-2.09852,-1.61067,,1.03742,-56.12738,-0.76028,2.69062,-0.94593,0.28372,-0.07197,0.01747,-0.0025,2.65855,72.60415,-33.14483,5.29589,-1.112,0.21104,-0.0388,0.00687,-0.00047,0.31782,42.55619,-6.62084,0.80936,-0.06593,-0.02126,0.00915,-0.00296,0.00052,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,171.011672,-60.685048,1111.170727,0.48961,11:45,0.878098,0.092161,-0.469522,-26.003408,-52.711019,25.475425,172.433737,8.643102,0.130177,0.150279,-0.980036,8.717855,7.479843,0.150279,0.130177,0.980036,-8.717855,-7.479843,-0.150279,-0.130177,0.980036,-172.433737,-8.643102,-0.130177,-0.150279,-0.980036,82.18291,6.04184,6.92877
5,2026-05-14,20:06:07.74,1,5,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Kerce, Carson",812668,Right,GIT_YEL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.68852,-0.520741,1.424652,2197.158031,174.163523,11:45,5.97958,-1.06721,5.56811,-10.0954,25.39517,-2.44536,4.6517,0.06009,80.1294,-2.581318,0.988719,0.428773,,,,,,,,,,,,1.74209,13.30406,0.94594,50,5.92836,-3.14408,-131.12874,-1.35104,2.93752,35.87688,-9.74085,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260514-HarringtonVillage-1,dfa08e30-4ff1-11f1-b902-418d5ab43a00,87.90761,,,10.55913,,,,,,,6a5feec5-7202-4389-988a-b79fbc547f32,2026-05-15,00:06:07.74,2026-05-14T20:06:07.7450752-04:00,2026-05-15T00:06:07.7450752Z,,v3,227,100,cecc6e81663141028ed4722ec97de5af,"Johnson, Gunnar",1000100233,Right,BOC_EAG,bf24e09f-4146-4748-9e9d-f85b99e5b1d6,54.9212,-132.46834,17.93844,5.97202,-0.98733,-4.87043,1.06539,-3.25376,1.46876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,153.369427,-5.848847,2185.720051,0.994794,11:00,0.119926,0.44681,-0.886554,32.671984,-26.373773,59.998611,179.567267,-25.810377,0.006799,-0.435394,-0.900214,25.811018,-0.389563,0.435394,-0.006799,0.900214,-25.811018,0.389563,-0.435394,0.006799,0.900214,-179.567267,25.810377,-0.006799,0.435394,-0.900214,,,
6,2026-05-14,20:06:23.75,1,6,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Kerce, Carson",812668,Right,GIT_YEL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.82745,-2.105825,1.215083,2197.806517,173.82895,11:45,5.91196,-1.20442,5.60186,-11.14457,24.06647,-2.44732,3.01605,-0.27386,80.72073,-4.335615,0.77844,0.427082,82.68695,57.494417,78.580106,4318.070747,,,,,63.91358,,,1.67024,13.30257,1.10199,50,5.72496,-2.6738,-131.3804,-5.06663,2.83743,35.10302,-9.57509,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260514-HarringtonVillage-1,e9284880-4ff1-11f1-b902-418d5ab43a00,88.25583,87.31318,,10.10671,,,,0.62219,2.9555,0.26311,6a5feec5-7202-4389-988a-b79fbc547f32,2026-05-15,00:06:23.75,2026-05-14T20:06:23.7593088-04:00,2026-05-15T00:06:23.7593088Z,,v3,227,100,cecc6e81663141028ed4722ec97de5af,"Johnson, Gunnar",1000100233,Right,BOC_EAG,d52a59d5-903d-4400-83eb-8fb3f5725921,54.89115,-132.68081,17.55151,5.90609,-4.71192,-4.78754,1.20299,-2.77891,1.41872,,0.62219,12.90359,-15.00186,5.57173,-1.58881,0.40711,-0.098,0.01893,-0.00207,2.9555,102.27511,-29.10278,3.45912,-0.5308,0.05129,0.00027,-0.00166,0.00029,0.26311,63.88023,-9.88895,1.88391,-0.28296,0.02732,0.00031,-0.0011,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,,151.063145,-6.589297,2183.288288,0.993394,11:00,0.115426,0.484541,-0.86712,32.88589,-32.680878,62.608393,176.089759,25.902149,0.061343,0.436836,-0.897447,25.954659,3.516902,0.436836,0.061343,0.897447,-25.954659,-3.516902,-0.436836,-0.061343,0.897447,-176.089759,-25.902149,-0.061343,-0.436836,-0.897447,77.48164,9.12423,9.76732
7,2026-05-14,20:06:45.73,1,7,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Kerce, Carson",812668,Right,GIT_YEL,Undefined,1,Top,0,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.12336,-1.885778,1.907331,1742.110978,114.855715,9:45,5.84076,-1.15239,5.50484,-31.8486,8.92205,-15.99965,1.42146,-0.70124,75.98548,-7.775973,-0.946911,0.459563,,,,,,,,,,,,8.67552,5.56485,0.99683,50,5.65496,-3.37678,-121.82024,-5.09614,12.80986,27.81879,-23.95728,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260514-HarringtonVillage-1,f648b9f0-4ff1-11f1-b902-418d5ab43a00,82.01798,,,8.13788,,,,,,,6a5feec5-7202-4389-988a-b79fbc547f32,2026-05-15,00:06:45.73,2026-05-14T20:06:45.7310000-04:00,2026-05-15T00:06:45.7310000Z,,v3,227,100,cecc6e81663141028ed4722ec97de5af,"Johnson, Gunnar",1000100233,Right,BOC_EAG,a8f7f176-db8b-4db8-826c-bac51d9af722,54.99131,-122.95477,13.9094,5.84287,-4.11909,-11.97864,1.1452,-3.8992,6.40493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.85189,2.634376,1.293312,1.341064,0.51782,1.29781,0.71647,-5.30851,4.01728,4.59466,76.54288,4.88924,48.24636,-5.20181,68.28125,-5.46683,4.13428,21.41617,-15.55271,4.59483,34.09569,-1.1528,High,High,High,,,High,High,High,131.012892,-5.546369,1733.954945,0.995318,10:15,0.093584,0.753803,-0.650402,-76.571132,16.808551,-58.412596,107.427406,-22.332012,0.882538,-0.379973,-0.277034,53.904619,-61.950001,0.379973,-0.882538,0.277034,-53.904619,61.950001,-0.379973,0.882538,0.277034,-107.427406,22.332012,-0.882538,0.379973,-0.277034,,,
8,2026-05-14,20:07:19.54,2,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.77838,-1.254385,2.531826,2417.391361,224.769125,1:30,5.75981,-1.48013,5.52825,-31.90549,6.77666,5.48339,1.92705,1.34517,78.50577,-7.113923,3.508428,0.447638,,,,,,,,,,,,-2.04524,4.15748,1.25623,50,5.6295,-5.73072,-124.381,-3.84457,-3.19134,25.86916,-25.68688,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260514-HarringtonVillage-1,0a6c84c0-4ff2-11f1-b902-418d5ab43a00,84.20301,,,7.27261,,,,,,,6a5feec5-7202-4389-988a-b79fbc547f32,2026-05-15,00:07:19.54,2026-05-14T20:07:19.5464704-04:00,2026-05-15T00:07:19.5464704Z,,v3,227,100,cecc6e81663141028ed4722ec97de5af,"Johnson, Gunnar",1000100233,Right,BOC_EAG,b6f46413-5dcd-4319-a3ab-f8387e242830,54.96984,-125.41038,12.93458,5.76215,-2.82244,-12.84344,1.48174,-5.60373,-1.59567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,186.53236,-70.92758,789.914051,0.326763,12:15,0.959111,-0.016475,-0.282549,-63.237082,-51.437011,59.298026,175.631557,6.548167,0.075673,0.114038,-0.99059,6.567079,4.33989,0.114038,0.075673,0.99059,-6.567079,-4.33989,-0.114038,-0.075673,0.99059,-175.631557,-6.548167,-0.075673,-0.114038,-0.99059,,,
9,2026-05-14,20:07:33.65,2,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,1,1,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.59903,-0.345767,1.491897,2403.695862,222.584003,1:30,5.79138,-1.45396,5.39406,-30.67321,8.14634,6.37796,2.91113,0.47601,78.47625,-5.98403,2.625793,0.448432,75.0143,10.878398,159.096193,1917.403516,,,,107.37516,47.14009,165.846372,1.145573,-2.74669,4.60209,1.31649,50,5.73939,-3.52111,-124.20235,-1.85008,-4.29841,24.44863,-24.97212,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260514-HarringtonVillage-1,12d19100-4ff2-11f1-b902-418d5ab43a00,84.05386,7.88152,,7.12278,,,,-0.28433,2.96248,-0.90609,6a5feec5-7202-4389-988a-b79fbc547f32,2026-05-15,00:07:33.65,2026-05-14T20:07:33.6502272-04:00,2026-05-15T00:07:33.6502272Z,GroundBall,v3,227,100,cecc6e81663141028ed4722ec97de5af,"Johnson, Gunnar",1000100233,Right,BOC_EAG,f3bc319b-4166-4754-a73e-244bb61e00dc,55.10079,-125.20239,12.22431,5.79418,-0.82863,-12.48606,1.45692,-3.34529,-2.14921,,-0.29804,-100.78297,8.87778,,,,,,,3.10448,19.05254,-19.09363,,,,,,,-0.73239,36.43823,-11.35801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,181.244176,-68.425158,883.878052,0.367716,12:00,0.939225,-0.002372,-0.343293,-52.678401,-51.054122,55.643528,176.265753,1.556247,0.065105,0.027158,-0.997509,1.559556,3.732868,0.027158,0.065105,0.997509,-1.559556,-3.732868,-0.027158,-0.065105,0.997509,-176.265753,-1.556247,-0.065105,-0.027158,-0.997509,32.39845,-12.25411,44.33942
10,2026-05-14,20:07:58.13,2,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,1,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.29148,-2.112487,2.730526,1758.6677,119.485034,10:00,5.81214,-1.20463,5.6639,-28.61025,10.99989,-17.27525,1.45502,-0.09621,77.54937,-7.394966,-0.357197,0.452975,,,,,,,,,,,,9.62815,6.51634,0.98529,50,5.61516,-5.15117,-122.31072,-5.45586,14.62422,23.51948,-22.27637,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260514-HarringtonVillage-1,21698740-4ff2-11f1-b902-418d5ab43a00,83.21078,,,6.74211,,,,,,,6a5feec5-7202-4389-988a-b79fbc547f32,2026-05-15,00:07:58.13,2026-05-14T20:07:58.1365760-04:00,2026-05-15T00:07:58.1365760Z,,v3,227,100,cecc6e81663141028ed4722ec97de5af,"Johnson, Gunnar",1000100233,Right,BOC_EAG,a3982310-dca0-4620-9b2f-4c0cbd9d6766,54.8372,-123.23736,11.75974,5.81283,-4.57819,-11.13819,1.19959,-5.72736,7.31211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,127.697819,-5.100286,1751.704469,0.996041,10:15,0.088735,0.790855,-0.605536,-75.385084,29.730556,-66.255325,100.125124,-17.281853,0.939984,-0.297072,-0.167862,60.531207,-70.048905,0.297072,-0.939984,0.167862,-60.531207,70.048905,-0.297072,0.939984,0.167862,-100.125124,17.281853,-0.939984,0.297072,-0.167862,,,
